Time Received,VIN,VIN Search,Tag,Tag Search,Year,Make,Model,Color,Type,Tow Location,Pickup Lot,Time of Tow
02/12/2024 06:50,xxxxxxxxxxxx13160,??4FY48BX6T313160,xxx2327,TMZ2327,2006,CHRYS,PT CR,SILVER,PUBLIC,900-BLK NORTH 30TH ST,1901 RICHMOND HWY,02/12/2024 6:00 AM
02/05/2024 22:28,xxxxxxxxxxxx19930,19UUA8F29CA019930,xxx9426,ULP9426,2012,ACURA,TL,GREY,REPO,2000-BLK NORTH AVE,600 DINWIDDIE AVE,02/05/2024 10:04 PM
02/06/2024 21:34,xxxxxxxxxxxx10493,19VDE1F71FE010493,xxx7718,TUW7718,2015,ACURA,ILX,WHITE,PRIVATE,1900-BLK CEDAR ST,1901 RICHMOND HWY,02/06/2024 9:34 PM
02/10/2024 20:10,xxxxxxxxxxxx23434,19XFA1F61AE023434,xxx3873,TRM3873,2010,HONDA,CIVIC,SILVER,PRIVATE,100-BLK W GRACE ST,1901 RICHMOND HWY,02/10/2024 8:10 PM
02/08/2024 10:02,xxxxxxxxxxxx72947,19XFB2F50EE072947,xxxx1870,UJJ-1870,2014,HONDA,CIVIC,GRAY,PUBLIC,1700-BLK EMAIN ST,642 W SOUTHSIDE PLZ,02/08/2024 10:02 AM
02/10/2024 20:31,xxxxxxxxxxxx49861,19XFB2F51DE249861,xxx1463,XFT1463,2013,HONDA,CIVIC,GRAY,PRIVATE,100-BLK W GRACE ST,1901 RICHMOND HWY,02/10/2024 8:31 PM
02/08/2024 11:27,xxxxxxxxxxxx98747,19XFB2F55CE098747,xxxx4979,KEB-4979,2012,HONDA,CIVIC,GRAY,PUBLIC,00-BLK W COMMERCE RD,642 W SOUTHSIDE PLZ,02/08/2024 11:27 AM
02/08/2024 05:58,xxxxxxxxxxxx20834,19XFB2F55EE220834,xxx9335,WMG9335,2014,HONDA,CIVIC,WHITE,PRIVATE,100-BLK N 20TH ST,8675 TELEGRAPH RD,02/08/2024 5:58 AM
02/06/2024 12:21,xxxxxxxxxxxx67512,19XFB2F83EE067512,xxxx1671,UWB-1671,2014,HONDA,CIVIC,BLACK,PUBLIC,1200-BLK MCDONOUGH ST,642 W SOUTHSIDE PLAZA DRIVE,02/06/2023 8:53 AM
02/15/2024 12:39,xxxxxxxxxxxx00168,19XFB4F2XEE000168,xxx7789,WPG7789,2014,2014,HONDA,CIVIC,PUBLIC,2700-BLK GRACE ST,642 W SOUTHSIDE PLZ,02/15/2024 12:37 PM
02/08/2024 18:26,xxxxxxxxxxxx00821,19XFC1F76LE000821,xxx3788,TZM3788,2020,HONDA,CIVIC,BLUE,PRIVATE,00-BLK S 17TH ST,1901 RICHMOND HWY,02/08/2024 6:20 PM
02/07/2024 01:01,xxxxxxxxxxxx12662,19XFL1H72PE012662,xxx2307,TMR2307,2023,HONDA,CIVIC,WHITE,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/07/2024 1:01 AM
02/11/2024 00:51,xxxxxxxxxxxx02052,19XZE4F12KE002052,xxKIDD,CCKIDD,19,HONDA,INSIG,GREY,PRIVATE,2600-BLK W BROAD ST,4839 WALLER RD,02/11/2024 12:31 AM
02/14/2024 16:40,xxxxxxxxxxxx21679,1B3EL46X06N121679,xxxx6200,UCT-6200,2006,DODGE,STRAT,SILVER,PRIVATE,3200-BLK 5TH AVE,642 W SOUTHSIDE PLZ,02/14/2024 4:39 PM
02/07/2024 15:13,xxxxxxxxxxxx30558,1B3HB48C97D130558,xx5MAF,R85MAF,2007,DODGE,CAL,BLUE,PUBLIC,1100-BLK E 17TH ST,642 W SOUTHSIDE PLZ,02/07/2024 3:13 PM
02/06/2024 13:01,xxxxxxxxxxxx59084,1B7HC16Y8TJ159084,xxxx8047,UKH-8047,1996,DODGE,RAM,WHITE,PUBLIC,1400-BLK BAINBRIDGE ST,642 W SOUTHSIDE PLAZA DRIVE,02/06/2023 9:20 AM
02/16/2024 18:25,xxxxxxxxxxxx58310,1B7KF23Z8TJ158310,xxx5860,TZU5860,1996,DODGE,RAM,RED,PUBLIC,2800-BLK HANES AVE,642 W SOUTHSIDE PLZ,02/16/2024 6:23 PM
02/16/2024 13:08,xxxxxxxxxxxx16979,1B7MC33651J216979,xxx5737,UA35737,2001,DODGE,RAM,RED,PUBLIC,W LABURNUM/NOBLE RICH,642 W SOUTHSIDE PLZ,02/15/2024 1:07 PM
02/05/2024 10:04,xxxxxxxxxxxx85790,1C3CCBAB7DN685790,xxx3593,VCY3593,2013,CHRYS,200LX,GOLD,PUBLIC,1400-BLK MCDONOUGH ST,642 W SOUTHSIDE PLZ,02/05/2024 10:04 AM
02/08/2024 18:18,xxxxxxxxxxxx62330,1C3CCBAB8DN762330,xxx6035,TSG6035,2013,CHRYS,200,WHITE,PRIVATE,100-BLK S DAVIS AVE,4901 WALLER ROAD,02/08/2024 6:18 PM
02/14/2024 02:40,xxxxxxxxxxxx83466,1C3CCBCG9DN683466,xxx8061,UKW8061,2013,CHRYS,200,GREY,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/14/2024 2:40 AM
02/08/2024 11:26,xxxxxxxxxxxx38784,1C3CCCAB0FN538784,xxxx3121,UKW-3121,2015,CHRYS,200,BLACK,PUBLIC,00-BLK E 11TH ST,642 W SOUTHSIDE PLZ,02/08/2024 9:58 AM
02/08/2024 12:25,xxxxxxxxxxxx32230,1C3CCCAB7GN132230,xxxx1154,UJK-1154,2016,CHRY,200,RED,PUBLIC,2300-BLK CREIGHTON RD,642 W SOUTHSIDE PLZ,02/08/2024 12:25 PM
02/11/2024 06:15,xxxxxxxxxxxx41530,1C3CDFBH7DD641530,xxxx5865,UCJ 5865,2013,DODGE,DART,RED,PUBLIC,3000-BLK BELLS ROAD,642 W SOUTHSIDE PLZ,02/11/2024 6:03 AM
02/07/2024 10:01,xxxxxxxxxxxx70271,1C3CDZABXCN170271,xxxx9859,TXA-9859,2012,DODGE,AVENG,BLUE,PUBLIC,100-BLK E 7TH ST,642 W SOUTHSIDE PLZ,02/07/2024 8:33 AM
02/07/2024 11:41,xxxxxxxxxxxx38982,1C4BJWDG1GL238982,xxxx9190,VKX-9190,2016,JEEP,WRANG,CREAM/B,PUBLIC,100-BLK E 11TH ST,642 W SOUTHSIDE PLZ,02/07/2024 10:32 AM
02/09/2024 00:40,xxxxxxxxxxxx51725,1C4BJWFG7DL651725,xxx5944,TRY5944,2013,JEEP,WRANG,BLACK,PRIVATE,2400-BLK E MAIN ST,1901 RICHMOND HWY,02/09/2024 12:40 AM
02/08/2024 16:51,xxxxxxxxxxxx03719,1C4HJYDG5KW603719,xx27BJ,5427BJ,2017,JEEP,WRANG,BLUE,PRIVATE,700-BLK W CARY ST,1200 BENTLEY ST,02/08/2024 4:51 PM
02/15/2024 10:23,xxxxxxxxxxxx64185,1C4NJCBB2CD664185,xxx6363,TRL6363,2012,JEEP,COMPA,BLK,PUBLIC,2300-BLK E MAIN ST,642 W SOUTHSIDE PLZ,02/15/2024 10:21 AM
02/08/2024 11:43,xxxxxxxxxxxx55447,1C4NJDEB2ED855447,xxxx7674,TUH-7674,2014,JEEP,COMPA,GRAY,PUBLIC,00-BLK E 7TH ST,642 W SOUTHSIDE PLAZA DRIVE,02/08/2024 8:44 AM
02/15/2024 21:52,xxxxxxxxxxxx39332,1C4NJDEB4HD139332,xxxx3557,UAH-3557,2017,JEEP,COMPA,BLK,PUBLIC,3200-BLK LAWSON ST,642 W SOUTHSIDE PLZ,02/15/2024 9:50 PM
02/14/2024 08:48,xxxxxxxxxxxx45116,1C4NJRBB8FD145116,xxxx8446,WLR-8446,2015,JEEP,PATRI,GRY,PUBLIC,3400-BLK W CLAY ST,642 W SOUTHSIDE PLZ,02/14/2024 8:46 AM
02/06/2024 10:03,xxxxxxxxxxxx77862,1C4NJRCB8CD577862,xxx6411,TRL6411,2012,JEEP,PATRI,BLUE,PUBLIC,1900-BLK E MAIN ST,642 W SOUTHSIDE PLZ,02/06/2024 10:02 AM
02/12/2024 17:35,xxxxxxxxxxxx83555,1C4PJLCB5FW683555,xxBGTK,38BGTK,2015,JEEP,CHERO,BEIGE,PRIVATE,1300-BLK E MAIN ST,1901 RICHMOND HWY,02/12/2024 5:25 PM
02/15/2024 13:38,xxxxxxxxxxxx43298,1C4PJLCS5HW643298,xxx5200,PMM5200,2017,JEEP,CHERO,GRAY,PUBLIC,1200-BLK E CARY ST,642 W SOUTHSIDE PLZ,02/15/2024 1:36 PM
02/07/2024 06:57,xxxxxxxxxxxx18775,1c4pjmds3fw718775,xxx4576,TPL4576,2015,JEEP,CHERO,WHITE,REPO,1200-BLK ST JAMES ST,3575 BRIDGE RD,02/07/2024 6:57 AM
02/13/2024 21:06,xxxxxxxxxxxx24295,1C4RDJAG1JC324295,xxxx7957,UUG-7957,2018,DODGE,DRNGO,SILVER,PRIVATE,900-BLK MYERS ST,2205 DICKENS RD,02/13/2024 9:05 PM
02/10/2024 04:11,xxxxxxxxxxxx38232,1C4RDJDG1RC138232,xxx9318,TLA9318,24,DODGE,DURAN,WHITE,PRIVATE,500-BLK W FRANKLIN ST,4839 WALLER RD,02/10/2024 4:00 AM
